experimento,tipo_registro,contexto,modelo,numero_pregunta,dificultad,pregunta,respuesta_esperada,respuesta_obtenida,score,tiempo_inferencia_s,correcta,tipo_coincidencia,observacion,configuracion,total_preguntas,correctas,accuracy,recall_at_k,chunk_size,overlap,top_k,numero_chunks,dimension_embeddings,modelo_embeddings,score_medio,tiempo_total_s,tiempo_medio_s
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQAC (MMG),2,Intermedia,¿Cuándo se considera que un agente aprende?,cuando su desempeño mejora con la experiencia y mediante el uso de datos,cuando su desempeño mejora con la experiencia y mediante el uso de datos,0.997397,0.1038,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQAC (MMG),3,Intermedia,¿Qué establece un algoritmo de aprendizaje supervisado?,una correspondencia entre entradas y salidas deseadas,una correspondencia entre entradas y salidas deseadas usando ejemplos etiquetados ; la clasificación es una tarea representativa,0.465061,0.1053,Sí,Respuesta correcta dentro de un fragmento más amplio,Respuesta correcta dentro de un fragmento más amplio; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQAC (MMG),4,Difícil,¿Qué debe hacer el sistema en el aprendizaje no supervisado?,reconocer patrones en ejemplos que solo contienen entradas,reconocer patrones en ejemplos que solo contienen entradas,0.372401,0.1050,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQAC (MMG),5,Intermedia,¿Qué información de entrada utiliza el aprendizaje por refuerzo?,la retroalimentación que recibe como respuesta a sus acciones,la retroalimentación que recibe como respuesta a sus acciones,0.588249,0.1035,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
qa_basico,resumen_experimental,Contexto propio de IA y Machine Learning,BETO-SQuAD2 (mrm8488),,,,,10/10 correctas,,,,,Resumen calculado desde la tabla ejecutada de diez preguntas del contexto propio.,top_k=1,10,10,1.0,,,,,,,,0.6315703,1.7577,0.17577
chunking,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,3/10 correctas,,,,,Resultado de la comparación controlada de chunking y overlap.,A — 300/0,10,3,0.3,,300,0,,579,,,0.935121,288.147,28.815
chunking,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,4/10 correctas,,,,,Resultado de la comparación controlada de chunking y overlap.,B — 300/50,10,4,0.4,,300,50,,694,,,0.915775,350.798,35.08
documento_largo,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,3/10 correctas,,,,,"Configuración base de documento largo, reutilizada en la comparación de chunking.",C — 500/0,10,3,0.3,,500,0,,347,,,0.91716,223.805,22.381
chunking,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,4/10 correctas,,,,,Resultado de la comparación controlada de chunking y overlap.,D — 500/100,10,4,0.4,,500,100,,434,,,0.938941,325.274,32.527
chunking,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,4/10 correctas,,,,,Resultado de la comparación controlada de chunking y overlap.,E — 800/0,10,4,0.4,,800,0,,217,,,0.942767,236.143,23.614
chunking,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,4/10 correctas,,,,,Resultado de la comparación controlada de chunking y overlap.,F — 800/150,10,4,0.4,,800,150,,267,,,0.898146,282.039,28.204
rag_minilm,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,1/10 correctas,,,,,Resultado histórico de RAG con MiniLM para la evaluación de Top-K.,800/0; Top-1,10,1,0.1,0.1,800,0,1,217,,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.269381,0.189,0.019
rag_minilm,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,3/10 correctas,,,,,Resultado histórico de RAG con MiniLM para la evaluación de Top-K.,800/0; Top-3,10,3,0.3,0.3,800,0,3,217,,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.64072,0.508,0.051
rag_minilm,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,3/10 correctas,,,,,Resultado histórico de RAG con MiniLM para la evaluación de Top-K.,800/0; Top-5,10,3,0.3,0.3,800,0,5,217,,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.702736,0.721,0.072
rag_minilm,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,4/10 correctas,,,,,Resultado histórico de RAG con MiniLM para la evaluación de Top-K.,800/0; Top-10,10,4,0.4,0.4,800,0,10,217,,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.836432,1.408,0.141
rag_mpnet,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,6/10 correctas,,,,,Resultado final de la comparación de embeddings con la base completa.,800/0; Top-10; base completa,10,6,0.6,0.6,800,0,10,217,768,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8616348922252655,1.419703555999149,0.14197035559991492
tamano_base_vectorial,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,5/10 correctas,,,,,Base anidada con evidencia preservada; embeddings reutilizados del modelo final.,base=50; 800/0; Top-10,10,5,0.5,0.7,800,0,10,50,768,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8108201563358307,1.4076479989998916,0.14076479989998916
tamano_base_vectorial,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,6/10 correctas,,,,,Base anidada con evidencia preservada; embeddings reutilizados del modelo final.,base=100; 800/0; Top-10,10,6,0.6,0.7,800,0,10,100,768,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.786065274477005,1.4102445450007508,0.14102445450007509
tamano_base_vectorial,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,6/10 correctas,,,,,Base anidada con evidencia preservada; embeddings reutilizados del modelo final.,base=150; 800/0; Top-10,10,6,0.6,0.6,800,0,10,150,768,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8325623273849487,1.4026622990004398,0.14026622990004398
tamano_base_vectorial,resumen_experimental,documento_fuente.pdf,MMG/bert-base-spanish-wwm-cased-finetuned-sqac,,,,,6/10 correctas,,,,,Base anidada con evidencia preservada; embeddings reutilizados del modelo final.,base=217; 800/0; Top-10,10,6,0.6,0.6,800,0,10,217,768,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8616348922252655,1.4124483970008441,0.14124483970008442
